title,score,search term,categories,abstract
A Review of Recent Advances in Research on Extreme Heat Events,145.0716,extreme heat,['Meteorology and Climatology'],"Reviewing recent literature, we report that changes in extreme heat event characteristics such as magnitude, frequency, and duration are highly sensitive to changes in mean global-scale warming. Numerous studies have detected significant changes in the observed occurrence of extreme heat events, irrespective of how such events are defined. Further, a number of these studies have attributed present-day changes in the risk of individual heat events and the documented global-scale increase in such events to anthropogenic-driven warming. Advances in process-based studies of heat events have focused on the proximate land-atmosphere interactions through soil moisture anomalies, and changes in occurrence of the underlying atmospheric circulation associated with heat events in the mid-latitudes. While evidence for a number of hypotheses remains limited, climate change nevertheless points to tail risks of possible changes in heat extremes that could exceed estimates generated from model outputs of mean temperature. We also explore risks associated with compound extreme events and nonlinear impacts associated with extreme heat. "
Mechanisms Behind the 2020 Extreme Heat Across Siberia,135.85762,extreme heat,['Meteorology and Climatology'],"During the first half of 2020, extreme heat persisted in Siberia; wildfires developed in the region as a result. Heat waves in this region have been linked with summertime stationary Rossby waves (Schubert et al. 2011; 2014), but specific mechanisms driving the 2020 event are unclear."
Heat-shield for Extreme Entry Environment Technology (HEEET) Development Status,121.88474,extreme heat,"['Spacecraft Design, Testing and Performance']","The Heat shield for Extreme Entry Environment Technology (HEEET) Project is a NASA STMD and SMD co-funded effort. The goal is to develop and mission infuse a new ablative Thermal Protection System that can withstand extreme entry. It is targeted to support NASA's high priority missions, as defined in the latest decadal survey, to destinations such as Venus and Saturn in-situ robotic science missions. Entry into these planetary atmospheres results in extreme heating. The entry peak heat-flux and associated pressure are estimated to be between one and two orders of magnitude higher than those experienced by Mars Science Laboratory or Lunar return missions. In the recent New Frontiers community announcement NASA has indicated that it is considering providing an increase to the PI managed mission cost (PIMMC) for investigations utilizing the Heat Shield for Extreme Entry Environment Technology (HEEET) and in addition, NASA is considering limiting the risk assessment to only their accommodation on the spacecraft and the mission environment. The HEEET ablative TPS utilizes 3D weaving technology to manufacture a dual layer material architecture. The 3-D weaving allows for flat panels to be woven. The dual layer consists of a top layer designed to withstand the extreme external environment while the inner or insulating layer by design, is designed to achieve low thermal conductivity, and it keeps the heat from conducting towards the structure underneath. Both arc jet testing combined with material properties have been used to develop thermal response models that allows for comparison of performance with heritage carbon phenolic. A 50% mass efficiency is achieved by the dual layer construct compared to carbon phenolic for a broad range of missions both to Saturn and Venus. The 3-D woven flat preforms are molded to achieve the shape as they are compliant and then resin infusion with curing forms a rigid panels. These panels are then bonded on to the aeroshell structure. Gaps exist between the panels and these gaps have to be filled with seams. The seam material then has to be bonded on to adjacent panels and also to the structure. The heat-shield assembly is shown in Figure 1. One of the significant challenges we have overcome recently is the design, development and testing of the seam. HEEET material development and the seam concept development have utilized some of the unique test capabilities available in the US. The various test facilities utilized in thermal testing along with the entry environment for Saturn and Venus missions are shown in Figure 2. The HEEET project is currently in it's 3rd year of a four-year development. Figure 3 illustrates the key accomplishments to-date and the challenges yet to be overcome before the technology is ready for mission infusion. This proposed presentation will cover both progress that has been made in the HEEET project and also the challenges to be overcome that is highlighted in Figure 3. Objective of the HEEET project is to mature the system in time to support the next New Frontiers opportunity and we believe we are well along the way to mission infuse HEEET."
Enabling Future Venus In-situ Missions: Heat-Shield for Extreme Entry Environment Technology (HEEET) Progress towards TRL 6,120.91055,extreme heat,"['Lunar and Planetary Science and Exploration', 'Fluid Mechanics and Thermodynamics']","Heat-shield for Extreme Entry Environment Technology (HEEET) has been in development since 2014 with the goal of enabling missions to Venus, Outer Planets, and high-speed sample return missions. It is nearing successful completion and will be delivered by March of 2019. The 15 min presentation at the VEXAG will report on the HEEET development completed to-date and remaining testing and documentations prior to delivery of a TRL 6 technology."
Heat Shield for Extreme Entry Environment Technology (HEEET),116.73332,extreme heat,"['Engineering (General)', 'Composite Materials']",The Heat Shield for Extreme Entry Environment Technology (HEEET) project seeks to mature a game changing Woven Thermal Protection System (TPS) technology to enable in situ robotic science missions recommended by the NASA Research Council Planetary Science Decadal Survey committee. Recommended science missions include Venus probes and landers; Saturn and Uranus probes; and high-speed sample return missions.
NLDAS Views of North American 2011 Extreme Events,114.53411,extreme heat,['Meteorology and Climatology'],"2011 was marked as one of the most extreme years in recent history. Over the course of the year, weather-related extreme events, such as floods, heat waves, blizzards, tornadoes, and wildfires, caused tremendous loss of human life and property. The North American Land Data Assimilation System (NLDAS, http:ldas.gsfc.nasa.govnldas) data set, with high spatial and temporal resolutions (0.125 x 0.125, hourly) and various water- and energy-related variables, is an excellent data source for case studies of extreme events. This presentation illustrates some extreme events from 2011 in North America, including the Groundhog Day Blizzard, the July heat wave, Hurricane Irene, and Tropical Storm Lee, all utilizing NLDAS Phase 2 (NLDAS-2) data."
Heatshield for Extreme Entry Environment Technology (HEEET) Development Status,110.73338,extreme heat,"['Spacecraft Design, Testing and Performance']","The Heat shield for Extreme Entry Environment Technology (HEEET) Project is a NASA STMD and SMD co-funded effort. The goal is to develop and mission infuse a new ablative Thermal Protection System that can withstand extreme entry. It is targeted to support NASAs high priority missions, as defined in the latest decadal survey, to destinations such as Venus and Saturn in-situ robotic science missions. Entry into these planetary atmospheres results in extreme heating. The entry peak heat-flux and associated pressure are estimated to be between one and two orders of magnitude higher than those experienced by Mars Science Laboratory or Lunar return missions. In the recent New Frontiers community announcement NASA has indicated that it is considering providing an increase to the PI managed mission cost (PIMMC) for investigations utilizing the Heat Shield for Extreme Entry Environment Technology (HEEET) and in addition, NASA is considering limiting the risk assessment to only their accommodation on the spacecraft and the mission environment. The HEEET ablative TPS utilizes 3D weaving technology to manufacture a dual layer material architecture. The 3-D weaving allows for flat panels to be woven. The dual layer consists of a top layer designed to withstand the extreme external environment while the inner or insulating layer by design, is designed to achieve low thermal conductivity, and it keeps the heat from conducting towards the structure underneath. Both arc jet testing combined with material properties have been used to develop thermal response models that allows for comparison of performance with heritage carbon phenolic. A 50 mass efficiency is achieved by the dual layer construct compared to carbon phenolic for a broad range of missions both to Saturn and Venus. The 3-D woven flat preforms are molded to achieve the shape as they are compliant and then resin infusion with curing forms a rigid panels. These panels are then bonded on to the aeroshell structure. Gaps exist between the panels and these gaps have to be filled with seams. The seam material then has to be bonded on to adjacent panels and also to the structure. The heat-shield assembly is shown in Figure 1. One of the significant challenges we have overcome recently is the design, development and testing of the seam. HEEET material development and the seam concept development have utilized some of the unique test capabilities available in the US. The various test facilities utilized in thermal testing along with the entry environment for Saturn and Venus missions are shown in Figure 2. The HEEET project is currently in its 3rd year of a four-year development. Figure 3 illustrates the key accomplishments to date and the challenges yet to be overcome before the technology is ready for mission infusion. This proposed presentation will cover both progress that has been made in the HEEET project and also the challenges to be overcome that is highlighted in Figure 3. Objective of the HEEET project is to mature the system in time to support the next New Frontiers opportunity and we believe we are well along the way to mission infuse HEEET."
Relationships Between Excessive Heat and Daily Mortality over the Coterminous U.S,110.38877,extreme heat,"['Life Sciences (General)', 'Geosciences (General)']","In the United States, extreme heat is the most deadly weather-related hazard. In the face of a warming climate and urbanization, it is very likely that extreme heat events (EHEs) will become more common and more severe in the U.S. Using National Land Data Assimilation System (NLDAS) meteorological reanalysis data, we have developed several measures of extreme heat to enable assessments of the impacts of heat on public health over the coterminous U.S. These measures include daily maximum and minimum air temperatures, daily maximum heat indices and a new heat stress variable called Net Daily Heat Stress (NDHS) that gives an integrated measure of heat stress (and relief) over the course of a day. All output has been created on the NLDAS 1/8 degree (approximately 12 km) grid and aggregated to the county level, which is the preferred geographic scale of analysis for public health researchers. County-level statistics have been made available through the Centers for Disease Control and Prevention (CDC) via the Wide-ranging Online Data for Epidemiologic Research (WONDER) system. We have examined the relationship between excessive heat events, as defined in eight different ways from the various daily heat metrics, and heat-related and all-cause mortality defined in CDC's National Center for Health Statistics 'Multiple Causes of Death 1999-2010' dataset. To do this, we linked daily, county-level heat mortality counts with EHE occurrence based on each of the eight EHE definitions by region and nationally for the period 1999-2010. The objectives of this analysis are to determine (1) whether heat-related deaths can be clearly tied to excessive heat events, (2) what time lags are critical for predicting heat-related deaths, and (3) which of the heat metrics correlates best with mortality in each US region. Results show large regional differences in the correlations between heat and mortality. Also, the heat metric that provides the best indicator of mortality varied by region. Results from this research will potentially lead to improvements in our ability to anticipate and mitigate any significant impacts of extreme heat events on health."
It's the Heat AND the Humidity -- Assessment of Extreme Heat Scenarios to Enable the Assessment of Climate Impacts on Public Health,107.24663,extreme heat,['Meteorology and Climatology'],"In the United States, extreme heat is the most deadly weather-related hazard. In the face of a warming climate and urbanization, which contributes to local-scale urban heat islands, it is very likely that extreme heat events (EHEs) will become more common and more severe in the U.S. In a NASA-funded project supporting the National Climate Assessment, we are providing historical and future measures of extreme heat to enable assessments of the impacts of heat on public health over the coterminous U.S. We use atmospheric temperature and humidity information from meteorological reanalysis and from Global Climate Models (GCMs) to provide data on past and future heat events. The project s emphasis is on providing assessments of the magnitude, frequency and geographic distribution of extreme heat in the U.S. to facilitate public health studies. In our approach, long-term climate change is captured with GCM output, and the temporal and spatial characteristics of short-term extremes are represented by the reanalysis data. Two future time horizons, 2040 and 2090, are the focus of future assessments; these are compared to the recent past period of 1981-2000. We are characterizing regional-scale temperature and humidity conditions using GCM output for two climate change scenarios (A2 and A1B) defined in the Special Report on Emissions Scenarios (SRES). For each future period, 20 years of multi-model GCM output have been analyzed to develop a heat stress climatology based on statistics of extreme heat indicators. Differences between the two future and past periods have been used to define temperature and humidity changes on a monthly time scale and regional spatial scale. These changes, combined with hourly historical meteorological data at a spatial scale (12 km) much finer than that of GCMs, enable us to create future climate realizations, from which we compute the daily heat stress measures and related spatially-specific climatological fields. These include the mean annual number of days above certain thresholds of maximum and minimum air temperatures, heat indices and a new heat stress variable that gives an integrated measure of heat stress (and relief) over the course of a day. Comparisons are made between projected (2040 and 2090) and past (1990) heat stress statistics. All output is being provided at the 12 km spatial scale and will also be aggregated to the county level, which is a popular scale of analysis for public health researchers. County-level statistics will be made available by our collaborators at the Centers for Disease Control and Prevention (CDC) via the Wide-ranging Online Data for Epidemiologic Research (WONDER) system. CDC WONDER makes the information resources of the CDC available to public health professionals and the general public. This addition of heat stress measures to CDC WONDER will allow decision and policy makers to assess the impact of alternative approaches to optimize the public health response to EHEs. It will also allow public health researchers and policy makers to better include such heat stress measures in the context of national health data available in the CDC WONDER system. The users will be able to spatially and temporally query public health and heat-related data sets and create county-level maps and statistical charts of such data across the coterminous U.S."
Future Extreme Heat Scenarios to Enable the Assessment of Climate Impacts on Public Health over the Coterminous U.S.,105.45924,extreme heat,"['Meteorology and Climatology', 'Life Sciences (General)']","In the United States, extreme heat is the most deadly weather-related hazard. In the face of a warming climate and urbanization, which contributes to local-scale urban heat islands, it is very likely that extreme heat events (EHEs) will become more common and more severe in the U.S. This research seeks to provide historical and future measures of climate-driven extreme heat events to enable assessments of the impacts of heat on public health over the coterminous U.S. We use atmospheric temperature and humidity information from meteorological reanalysis and from Global Climate Models (GCMs) to provide data on past and future heat events. The focus of research is on providing assessments of the magnitude, frequency and geographic distribution of extreme heat in the U.S. to facilitate public health studies. In our approach, long-term climate change is captured with GCM outputs, and the temporal and spatial characteristics of short-term extremes are represented by the reanalysis data. Two future time horizons for 2040 and 2090 are compared to the recent past period of 1981- 2000. We characterize regional-scale temperature and humidity conditions using GCM outputs for two climate change scenarios (A2 and A1B) defined in the Special Report on Emissions Scenarios (SRES). For each future period, 20 years of multi-model GCM outputs are analyzed to develop a 'heat stress climatology' based on statistics of extreme heat indicators. Differences between the two future and the past period are used to define temperature and humidity changes on a monthly time scale and regional spatial scale. These changes are combined with the historical meteorological data, which is hourly and at a spatial scale (12 km), to create future climate realizations. From these realizations, we compute the daily heat stress measures and related spatially-specific climatological fields, such as the mean annual number of days above certain thresholds of maximum and minimum air temperatures, heat indices and a new heat stress variable developed as part of this research that gives an integrated measure of heat stress (and relief) over the course of a day. Comparisons are made between projected (2040 and 2090) and past (1990) heat stress statistics. Outputs are aggregated to the county level, which is a popular scale of analysis for public health interests. County-level statistics are made available to public health researchers by the Centers for Disease Control and Prevention (CDC) via the Wideranging Online Data for Epidemiologic Research (WONDER) system. This addition of heat stress measures to CDC WONDER allows decision and policy makers to assess the impact of alternative approaches to optimize the public health response to EHEs. Through CDC WONDER, users are able to spatially and temporally query public health and heat-related data sets and create county-level maps and statistical charts of such data across the coterminous U.S"
